,ip.src,ip.dst,ip.proto,highest_layer,length,number,sniff_time,sniff_timestamp,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tls,dns.id,dns.flags.response,dns.qry.name,dns.resp.name,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.authority
144,151.101.242.132,192.168.1.12,6,TLS,1442,264,2023-03-30 22:48:49.793664,1680209329.793663938,443,46912,0x0010,45855,750,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: 84b10921d53d5e72cf1be265244fd405b1be80599131c864c6e7d21cd50015b3b9561d1f…
	Application Data Protocol: http-over-tls
",,,,,,,,,
145,151.101.242.132,192.168.1.12,6,TLS,1442,266,2023-03-30 22:48:49.793947,1680209329.793946797,443,46912,0x0018,47231,750,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: f843297911705f9f058e5645c21787f1d866b396fb59ea7f69567032d19b2e4b32fa57d5…
	Application Data Protocol: http-over-tls
",,,,,,,,,
146,151.101.242.132,192.168.1.12,6,TLS,1442,267,2023-03-30 22:48:49.795355,1680209329.795354764,443,46912,0x0010,48607,750,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: 579da9d4ceded4764478840ac88b2b778de188c0abf77d03296de8fd282e7d8ce442d9b9…
	Application Data Protocol: http-over-tls
",,,,,,,,,
147,151.101.242.132,192.168.1.12,6,TLS,1442,269,2023-03-30 22:48:49.795492,1680209329.795492014,443,46912,0x0018,49983,750,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: 43b39d3b7abc550dd32d878699f63a9c39505cf479bd2b39c761be971ca0bd092f8b45da…
	Application Data Protocol: http-over-tls
",,,,,,,,,
148,151.101.242.132,192.168.1.12,6,TLS,1442,270,2023-03-30 22:48:49.796868,1680209329.796867986,443,46912,0x0010,51359,750,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: 0431d5353c68e2c468444a90f33728ee66d17c29947996b70dba22f179ed8c6bfc9a77d9…
	Application Data Protocol: http-over-tls
",,,,,,,,,
149,151.101.242.132,192.168.1.12,6,TLS,1442,272,2023-03-30 22:48:49.797193,1680209329.797193366,443,46912,0x0018,52735,750,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: a09ee6bcd4c928286bcc9881b31ff788a2dfb7b57bddd5e3ab269914abe2e8e7b3fa4b4b…
	Application Data Protocol: http-over-tls
",,,,,,,,,
150,151.101.242.132,192.168.1.12,6,TLS,1442,273,2023-03-30 22:48:49.797916,1680209329.797915793,443,46912,0x0010,54111,750,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: e000c7cc011b4996695939e0bc8730d7e3b3088d2185e05c0adf44275725a7bdbbd0e6bd…
	Application Data Protocol: http-over-tls
",,,,,,,,,
151,151.101.242.132,192.168.1.12,6,TLS,1442,275,2023-03-30 22:48:49.798352,1680209329.798352190,443,46912,0x0018,55487,750,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: 8febc7aaaa3f6db5ce4c6810deaa55a6e137b0329133009956634ab59c36c16f98aad9c5…
	Application Data Protocol: http-over-tls
",,,,,,,,,
152,151.101.242.132,192.168.1.12,6,TLS,1442,276,2023-03-30 22:48:49.799037,1680209329.799036899,443,46912,0x0010,56863,750,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: 7fcdaf0ee0e33c106a8f84a618edf9d7eef7799c4c5f0052279e338d3ce4d3426e06ec4e…
	Application Data Protocol: http-over-tls
",,,,,,,,,
153,151.101.242.132,192.168.1.12,6,TLS,1442,278,2023-03-30 22:48:49.799417,1680209329.799416869,443,46912,0x0018,58239,750,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: 7452202471260fdaf86a151a0edbacba3b327fdd65c205f2fee0351facee1ba3561eda5c…
	Application Data Protocol: http-over-tls
",,,,,,,,,
