,ip.src,ip.dst,ip.proto,highest_layer,length,number,sniff_time,sniff_timestamp,dns.id,dns.flags.response,dns.qry.name,dns.resp.name,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.authority,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tls
0,192.168.1.12,192.168.1.1,17,DNS,90,3,2023-03-30 22:46:03.907343,1680209163.907342796,0x076c,0,www.dailymail.co.uk,<Root>,1,0x0001,1,0,0,,,,,,
1,192.168.1.12,192.168.1.1,17,DNS,90,4,2023-03-30 22:46:03.907422,1680209163.907421520,0x89dc,0,www.dailymail.co.uk,<Root>,28,0x0001,1,0,0,,,,,,
2,192.168.1.1,192.168.1.12,17,DNS,187,5,2023-03-30 22:46:03.912287,1680209163.912286662,0x076c,1,www.dailymail.co.uk,www.dailymail.co.uk,1,0x0001,1,3,0,,,,,,
3,192.168.1.1,192.168.1.12,17,DNS,227,6,2023-03-30 22:46:03.914362,1680209163.914362074,0x89dc,1,www.dailymail.co.uk,www.dailymail.co.uk,28,0x0001,1,4,0,,,,,,
4,192.168.1.12,2.20.158.84,6,TLS,583,10,2023-03-30 22:46:03.989686,1680209163.989686338,,,,,,,,,,47832,443,0x0018,1,1,"Layer TLS:
	Length: 16401
	Encrypted Application Data: c5336f3d707f00e02fbb79c87d98f1f068ddab78488b0ba2801b24793a52437c7d84e2e1…
	Application Data Protocol: http-over-tls
"
15,2.20.158.84,192.168.1.12,6,TLS,1506,67,2023-03-30 22:46:04.800010,1680209164.800010144,,,,,,,,,,443,47832,0x0010,28767,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 8912
	Encrypted Application Data: 7b37f5e0538943a7ea018fd28ff0cfa64d54f198a33e36e154c95584967bdeb999e78bd8…
	Application Data Protocol: http-over-tls
"
16,2.20.158.84,192.168.1.12,6,TLS,7266,77,2023-03-30 22:46:04.802241,1680209164.802240690,,,,,,,,,,443,47832,0x0018,43167,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 16062
	Encrypted Application Data: cf716eb532600ec8d0d0e5ca491850362befede15cdaed26ef081e12daeb344da80349a0…
	Application Data Protocol: http-over-tls
"
17,2.20.158.84,192.168.1.12,6,TLS,1506,83,2023-03-30 22:46:04.802722,1680209164.802721492,,,,,,,,,,443,47832,0x0010,53247,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 8748
	Encrypted Application Data: 9b90fcca3be979a86c74c8e908dd3436fd9864842345affd0f41207ac68e98b0094fc490…
	Application Data Protocol: http-over-tls
"
18,2.20.158.84,192.168.1.12,6,TLS,2946,97,2023-03-30 22:46:04.805359,1680209164.805358967,,,,,,,,,,443,47832,0x0018,69087,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 16401
	Encrypted Application Data: d46237e9d62e97f8ca544157d49ab4c2fb922ba50dcce2f8dc47793cd575c8c76f4d0b4d…
	Application Data Protocol: http-over-tls
"
19,2.20.158.84,192.168.1.12,6,TLS,2946,106,2023-03-30 22:46:04.806015,1680209164.806014699,,,,,,,,,,443,47832,0x0018,79167,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 9238
	Encrypted Application Data: d8c48d838b48ffb6159366683a43a1cf3942e7a71e92fe53883239088deadad2b1fe3cee…
	Application Data Protocol: http-over-tls
"
20,2.20.158.84,192.168.1.12,6,TLS,7266,119,2023-03-30 22:46:04.808885,1680209164.808885193,,,,,,,,,,443,47832,0x0018,96447,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 16401
	Encrypted Application Data: 8bccc2e865227e5e2aa5f755685087cab2b648272e04a4ac41f6cda46ae82c1987fb12ac…
	Application Data Protocol: http-over-tls
"
21,2.20.158.84,192.168.1.12,6,TLS,2946,122,2023-03-30 22:46:04.808896,1680209164.808896276,,,,,,,,,,443,47832,0x0010,103647,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 9260
	Encrypted Application Data: 19629690f67df3e42db0366f97b8acd1ec3f6e024fa4c1363ebffe832277bd2a7f34cd9b…
	Application Data Protocol: http-over-tls
"
22,2.20.158.84,192.168.1.12,6,TLS,1506,134,2023-03-30 22:46:04.810502,1680209164.810501505,,,,,,,,,,443,47832,0x0010,120927,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 16401
	Encrypted Application Data: 7e0d21e1aa9eb0ab45c65fc74df49ccc55e6984b56023a7e76998d480e2b9e5893acc5d5…
	Application Data Protocol: http-over-tls
"
23,2.20.158.84,192.168.1.12,6,TLS,653,142,2023-03-30 22:46:04.810828,1680209164.810828455,,,,,,,,,,443,47832,0x0018,131007,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 9433
	Encrypted Application Data: 8ff087fde8bb626be37d4710c75fcc689da403edd8d226621f5c68b94976ef5f1028effb…
	Application Data Protocol: http-over-tls
"
24,2.20.158.84,192.168.1.12,6,TLS,1506,144,2023-03-30 22:46:04.812379,1680209164.812378598,,,,,,,,,,443,47832,0x0010,131594,957,"Layer TLS:
"
25,2.20.158.84,192.168.1.12,6,TLS,632,155,2023-03-30 22:46:04.812986,1680209164.812986395,,,,,,,,,,443,47832,0x0018,147434,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 16401
	Encrypted Application Data: bae84202d3d79f7b0f73e5a3e879e33c1f6b31f93c596f67a7b4dcb3f601d74eefd2b018…
	Application Data Protocol: http-over-tls
"
26,2.20.158.84,192.168.1.12,6,TLS,1506,157,2023-03-30 22:46:04.813866,1680209164.813866367,,,,,,,,,,443,47832,0x0010,148000,957,"Layer TLS:
